"","start_date","first_ccy_pair","d_xrate","d_new_users","fitted","new_users_1","new_users","Expected new users","Over/under"
"1234",2015-06-15,"EUR > GBP",-0.0136237111381191,-0.0975096792696334,-0.119268149817348,1046.05,944.05,921,0.0250271444082519
"1235",2015-06-15,"EUR > INR",0.00397935266282845,-0.0505427036509155,-0.23696779560365,456.05,433,348,0.244252873563218
"1236",2015-06-15,"EUR > USD",0.00578563889983852,0.101799672786766,0.00973607944013955,275.05,303.05,278,0.0901079136690648
"1237",2015-06-15,"GBP > EUR",0.0137936060129711,0.06978021978022,-0.100112866692432,2093,2239.05,1883,0.189086563993627
"1238",2015-06-15,"GBP > INR",0.0178316482873078,0.802176781002639,0.377464265474727,758,1366.05,1044,0.308477011494253
"1239",2015-06-15,"GBP > HUF",0.0145290445914641,0.00943396226415105,-0.0878311664351937,212,214,193,0.10880829015544
"1240",2015-06-15,"GBP > USD",0.0197010554798773,-0.0624576615634738,-0.149504897450198,369.05,346,314,0.101910828025478
"1241",2015-06-15,"other",NA,0.000791292268195409,NA,NA,2845.7,2845.7,0
"1242",2015-06-15,"USD > INR",-0.00179718142492913,-0.0680847984950437,-0.552161042253641,691.05,644,309,1.08414239482201
"1243",2015-06-22,"EUR > GBP",-0.00864484588326475,0.0942217043588793,0.148944639805565,944.05,1033,1085,-0.0479262672811059
"1244",2015-06-22,"EUR > INR",-0.0109965109413017,-0.323325635103926,-0.287993289549366,433,293,308,-0.0487012987012987
"1245",2015-06-22,"EUR > USD",-0.00495587751902704,-0.00346477478963869,-0.0450135228151538,303.05,302,289,0.0449826989619377
"1246",2015-06-22,"GBP > EUR",0.0087283331964183,0.226412987651013,0.273298606726314,2239.05,2746,2851,-0.0368291827428973
"1247",2015-06-22,"GBP > INR",-0.00237848848415279,-0.614948208337909,-0.38677719768257,1366.05,526,838,-0.372315035799523
"1248",2015-06-22,"GBP > HUF",0.0056977403677243,0.0233644859813085,0.0705814589712084,214,219,229,-0.0436681222707423
"1249",2015-06-22,"GBP > USD",0.00368960095965987,-0.00867052023121384,-0.00026095682503271,346,343,346,-0.00867052023121384
"1250",2015-06-22,"other",NA,0.0640791369434588,NA,NA,3028.05,3028.05,0
