"","week","date","WNU_GBPINR","WNU","start_date","end_date","yearmon","avg_rate","end_of_month","d_avg_rate","d_WNU_GBPINR","d_WNU","lag1_d_WNU_GBPINR","lag2_d_WNU_GBPINR","lag1_d_WNU","lag2_d_WNU"
"81","2015-18","2015-04-27",1237,10525,2015-04-27,2015-05-03,Apr 2015,96.9980142857143,1,0.024462832512137,0.205653021442495,-0.00303116415648386,0.796847635726795,0.209745762711864,0.30510569909754,-0.0520332825500996
"82","2015-19","2015-05-04",1203,9909,2015-05-04,2015-05-10,May 2015,97.2239571428571,0,0.00232935549048796,-0.0274858528698464,-0.0585273159144893,0.205653021442495,0.796847635726795,-0.00303116415648386,0.30510569909754
"83","2015-20","2015-05-11",1704,9754,2015-05-11,2015-05-17,May 2015,99.8021142857143,0,0.0265177145491917,0.41645885286783,-0.0156423453426178,-0.0274858528698464,0.205653021442495,-0.0585273159144893,-0.00303116415648386
"84","2015-21","2015-05-18",435,8066,2015-05-18,2015-05-24,May 2015,99.2754,0,-0.00527758644678,-0.744718309859155,-0.173057207299569,0.41645885286783,-0.0274858528698464,-0.0156423453426178,-0.0585273159144893
"85","2015-22","2015-05-25",479,9433,2015-05-25,2015-05-31,May 2015,98.1163857142857,1,-0.0116747380087544,0.101149425287356,0.169476816265807,-0.744718309859155,0.41645885286783,-0.173057207299569,-0.0156423453426178
"86","2015-23","2015-06-01",554,9166,2015-06-01,2015-06-07,Jun 2015,97.7336714285714,0,-0.00390061540616415,0.156576200417537,-0.028304887098484,0.101149425287356,-0.744718309859155,0.169476816265807,-0.173057207299569
"87","2015-24","2015-06-08",758,8747,2015-06-08,2015-06-14,Jun 2015,98.6704714285714,0,0.00958523287119806,0.368231046931408,-0.0457124154483962,0.156576200417537,0.101149425287356,-0.028304887098484,0.169476816265807
"88","2015-25","2015-06-15",1366,9333,2015-06-15,2015-06-21,Jun 2015,100.429928571429,0,0.0178316482873078,0.802110817941952,0.0669943980793415,0.368231046931408,0.156576200417537,-0.0457124154483962,-0.028304887098484
"89","2015-26","2015-06-22",526,8892,2015-06-22,2015-06-28,Jun 2015,100.191057142857,0,-0.00237848848415279,-0.61493411420205,-0.04725168756027,0.802110817941952,0.368231046931408,0.0669943980793415,-0.0457124154483962
"90","2015-27","2015-06-29",622,9798,2015-06-29,2015-07-05,Jun 2015,99.3881142857143,1,-0.00801411702840893,0.182509505703422,0.101889338731444,-0.61493411420205,0.802110817941952,-0.04725168756027,0.0669943980793415
"91","2015-28","2015-07-06",365,8437,2015-07-06,2015-07-12,Jul 2015,98.0760571428571,0,-0.0132013485947156,-0.413183279742765,-0.138905899163094,0.182509505703422,-0.61493411420205,0.101889338731444,-0.04725168756027
"92","2015-29","2015-07-13",401,9340,2015-07-13,2015-07-19,Jul 2015,98.6454571428571,0,0.0058056983180983,0.0986301369863014,0.107028564655683,-0.413183279742765,0.182509505703422,-0.138905899163094,0.101889338731444
"93","2015-30","2015-07-20",448,9662,2015-07-20,2015-07-26,Jul 2015,99.0189857142857,0,0.00378657651601366,0.117206982543641,0.0344753747323341,0.0986301369863014,-0.413183279742765,0.107028564655683,-0.138905899163094
"94","2015-31","2015-07-27",936,10844,2015-07-27,2015-08-02,Jul 2015,99.7565571428571,1,0.0074487879597116,1.08928571428571,0.122334920306355,0.117206982543641,0.0986301369863014,0.0344753747323341,0.107028564655683
"95","2015-32","2015-08-03",476,10096,2015-08-03,2015-08-09,Aug 2015,99.3791,0,-0.00378378277747293,-0.491452991452991,-0.0689782368129841,1.08928571428571,0.117206982543641,0.122334920306355,0.0344753747323341
"96","2015-33","2015-08-10",1541,12835,2015-08-10,2015-08-16,Aug 2015,100.517585714286,0,0.0114559873684277,2.23739495798319,0.271295562599049,-0.491452991452991,1.08928571428571,-0.0689782368129841,0.122334920306355
"97","2015-34","2015-08-17",697,7730,2015-08-17,2015-08-23,Aug 2015,102.58,0,0.0205179449054471,-0.54769630110318,-0.397740553174912,2.23739495798319,-0.491452991452991,0.271295562599049,-0.0689782368129841
"98","NULL","NULL",0,0,NA,NA,NA,NA,0,NA,-1,-1,-0.54769630110318,2.23739495798319,-0.397740553174912,0.271295562599049
